VC:904M BD:May 15 2013 SN:LGR-13-0110
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,            Gnd,         Gnd_sd,         LTC0_b,      LTC0_b_sd,         LTC0_v,      LTC0_v_sd,         LTC1_b,      LTC1_b_sd,         LTC1_v,      LTC1_v_sd,           BL0T,        BL0T_sd,           BL1T,        BL1T_sd,           BL2F,        BL2F_sd,           BL3F,        BL3F_sd,     12CH4_4_CT,  12CH4_4_CT_sd,     12CH4_4_AT,  12CH4_4_AT_sd,     12CH4_4_DF,  12CH4_4_DF_sd,     12CH4_4_PF,  12CH4_4_PF_sd,      H2O_12_CF,   H2O_12_CF_sd,      H2O_12_AT,   H2O_12_AT_sd,      H2O_12_DF,   H2O_12_DF_sd,      H2O_12_PF,   H2O_12_PF_sd,         BL0T_B,      BL0T_B_sd,         BL1T_B,      BL1T_B_sd,         BL2F_B,      BL2F_B_sd,         BL3F_B,      BL3F_B_sd,   12CO2_0_CT_B,12CO2_0_CT_B_sd,   12CO2_0_AT_B,12CO2_0_AT_B_sd,   12CO2_0_DF_B,12CO2_0_DF_B_sd,   12CO2_0_PF_B,12CO2_0_PF_B_sd,       Fit_Flag,   N_Fits_Avg'd,            MIU
  06/25/2014 08:04:39.175,    1.95545e+00,    0.00000e+00,    1.71955e+04,    0.00000e+00,    4.25083e+02,    0.00000e+00,    1.98967e+00,    0.00000e+00,    4.32521e+02,    0.00000e+00,    1.40173e+02,    0.00000e+00,    2.35266e+01,    0.00000e+00,    2.63627e+01,    0.00000e+00,    9.05688e+00,    0.00000e+00,    8.99525e+00,    0.00000e+00,    1.06093e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.61141e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -7.10523e+00,    0.00000e+00,    1.00674e+00,    0.00000e+00,    4.36816e-04,    0.00000e+00,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.08350e+01,    0.00000e+00,    7.87378e-02,    0.00000e+00,    2.79739e-01,    0.00000e+00,    7.06000e-02,    0.00000e+00,    1.03773e+01,    0.00000e+00,    4.50573e-02,    0.00000e+00,    2.63952e-01,    0.00000e+00,    7.24000e-02,    0.00000e+00,    9.85998e-01,    0.00000e+00,    1.47130e-04,    0.00000e+00,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.23315e+00,    0.00000e+00,    2.20243e-01,    0.00000e+00,    1.73902e-01,    0.00000e+00,    7.96543e-02,    0.00000e+00,              3,              1,       Disabled
  06/25/2014 08:04:41.228,    1.95179e+00,    3.34976e-03,    1.79388e+04,    2.47687e+02,    4.18392e+02,    2.92492e+00,    1.98745e+00,    2.90970e-03,    4.26034e+02,    2.87090e+00,    1.40218e+02,    4.91747e-02,    2.35325e+01,    2.86351e-03,    2.63828e+01,    1.02141e-02,    9.05398e+00,    7.09450e-04,    9.00119e+00,    1.55207e-03,    1.06134e-01,    9.62542e-06,    0.00000e+00,    0.00000e+00,   -1.61141e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -7.10606e+00,    3.60573e-04,    1.00678e+00,    6.18589e-06,    4.36714e-04,    1.15151e-08,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.08251e+01,    3.79944e-03,    7.85877e-02,    1.57819e-04,    2.79742e-01,    1.35000e-06,    7.06000e-02,    4.25249e-11,    1.03872e+01,    3.79944e-03,    4.70125e-02,    6.39900e-04,    2.63955e-01,    1.27382e-06,    7.24000e-02,    0.00000e+00,    9.85764e-01,    1.08586e-04,    1.46728e-04,    1.02058e-07,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.17036e+00,    2.88574e-02,    2.16981e-01,    1.55970e-03,    1.73903e-01,    8.39238e-07,    7.96546e-02,    1.81137e-07,              3,              2,       Disabled
  06/25/2014 08:04:43.280,    1.94746e+00,    1.93896e-03,    1.86894e+04,    1.98007e+02,    4.11479e+02,    1.83475e+00,    1.98455e+00,    2.37633e-03,    4.19316e+02,    1.78508e+00,    1.40222e+02,    1.16716e-02,    2.35398e+01,    1.97851e-03,    2.64123e+01,    1.21029e-02,    9.05146e+00,    2.90427e-03,    9.00102e+00,    4.42386e-04,    1.06168e-01,    1.28194e-05,    0.00000e+00,    0.00000e+00,   -1.61141e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -7.10698e+00,    2.88732e-04,    1.00656e+00,    6.58137e-05,    4.36129e-04,    3.65506e-07,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.08163e+01,    3.41212e-03,    7.83895e-02,    5.83585e-05,    2.79746e-01,    9.32759e-07,    7.06000e-02,    2.42840e-11,    1.03960e+01,    3.41212e-03,    4.89769e-02,    5.09835e-04,    2.63958e-01,    8.80118e-07,    7.24000e-02,    1.38778e-17,    9.85334e-01,    4.09744e-06,    1.46383e-04,    3.86918e-08,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.10282e+00,    2.91312e-02,    2.13387e-01,    9.26034e-04,    1.73905e-01,    5.79855e-07,    7.96550e-02,    1.28361e-07,              3,              2,       Disabled
  06/25/2014 08:04:46.069,    1.94460e+00,    1.08691e-03,    1.91988e+04,    2.51312e+02,    4.07539e+02,    5.65974e-01,    1.98267e+00,    6.00164e-04,    4.15517e+02,    4.70584e-01,    1.40190e+02,    1.15828e-02,    2.35519e+01,    1.88103e-03,    2.64714e+01,    8.17649e-03,    9.05282e+00,    2.30646e-03,    9.00241e+00,    2.86002e-04,    1.05888e-01,    3.09895e-04,    0.00000e+00,    0.00000e+00,   -1.61141e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -7.10756e+00,    0.00000e+00,    1.00648e+00,    2.47560e-05,    4.35938e-04,    3.95147e-07,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.08068e+01,    4.38896e-03,    7.82620e-02,    7.11566e-05,    2.79751e-01,    8.86782e-07,    7.06000e-02,    1.38344e-11,    1.04055e+01,    4.38896e-03,    5.03241e-02,    6.44284e-04,    2.63963e-01,    8.36736e-07,    7.24000e-02,    1.38778e-17,    9.85116e-01,    2.52496e-05,    1.46084e-04,    1.80485e-07,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.05269e+00,    6.76172e-03,    2.11312e-01,    3.20279e-04,    1.73909e-01,    5.51273e-07,    7.96553e-02,    5.02019e-08,              3,              2,       Disabled
  06/25/2014 08:04:47.868,    1.94540e+00,    1.91004e-03,    1.96469e+04,    3.21120e+00,    4.05792e+02,    7.54019e-01,    1.98439e+00,    1.95482e-03,    4.13924e+02,    7.67774e-01,    1.40211e+02,    5.01372e-02,    2.35577e+01,    1.85868e-03,    2.64968e+01,    9.81628e-03,    9.05159e+00,    4.59112e-03,    9.00176e+00,    4.01961e-03,    1.05479e-01,    1.00062e-04,    0.00000e+00,    0.00000e+00,   -1.61134e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -7.10788e+00,    0.00000e+00,    1.00656e+00,    1.59152e-04,    4.35799e-04,    7.79168e-08,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.07962e+01,    3.82967e-04,    7.82918e-02,    8.16626e-06,    2.79754e-01,    8.76236e-07,    7.06000e-02,    2.40224e-11,    1.04161e+01,    3.82967e-04,    5.15073e-02,    3.35753e-05,    2.63966e-01,    8.26785e-07,    7.24000e-02,    0.00000e+00,    9.85033e-01,    9.45016e-05,    1.45735e-04,    3.42725e-08,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.02090e+00,    6.72967e-03,    2.10413e-01,    3.74864e-04,    1.73911e-01,    5.44717e-07,    7.96555e-02,    6.93046e-08,              3,              2,       Disabled
  06/25/2014 08:04:49.681,    1.94201e+00,    5.40805e-04,    1.98868e+04,    1.98183e+02,    4.04411e+02,    2.55636e-01,    1.98141e+00,    1.51128e-04,    4.12617e+02,    1.77390e-01,    1.40224e+02,    8.26743e-04,    2.35622e+01,    1.77487e-03,    2.65255e+01,    1.16668e-02,    9.05506e+00,    1.76812e-04,    9.00321e+00,    5.48572e-04,    1.05718e-01,    5.16951e-05,    0.00000e+00,    0.00000e+00,   -1.61126e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -7.10817e+00,    0.00000e+00,    1.00634e+00,    1.05264e-04,    4.35555e-04,    1.23139e-07,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.07921e+01,    2.49400e-03,    7.81900e-02,    2.07361e-05,    2.79756e-01,    8.36723e-07,    7.06000e-02,    6.89236e-12,    1.04202e+01,    2.49400e-03,    5.21672e-02,    5.23667e-04,    2.63968e-01,    7.89502e-07,    7.24000e-02,    0.00000e+00,    9.84846e-01,    1.94805e-05,    1.45611e-04,    3.00355e-08,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -9.91522e-01,    8.86473e-03,    2.09744e-01,    1.21045e-04,    1.73912e-01,    5.20153e-07,    7.96556e-02,    2.47281e-08,              3,              2,       Disabled
  06/25/2014 08:04:51.473,    1.94468e+00,    9.95741e-04,    2.01675e+04,    1.23804e+02,    4.11021e+02,    4.40450e+00,    1.98471e+00,    1.26701e-03,    4.19481e+02,    4.54816e+00,    1.40209e+02,    6.15924e-02,    2.35667e+01,    1.66730e-03,    2.65567e+01,    1.14856e-02,    9.05256e+00,    2.13929e-03,    9.00297e+00,    2.52035e-03,    1.05927e-01,    1.21228e-04,    0.00000e+00,    0.00000e+00,   -1.61117e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -7.10841e+00,    0.00000e+00,    1.00636e+00,    9.80031e-05,    4.35615e-04,    5.17442e-08,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.07911e+01,    4.56164e-03,    7.82656e-02,    9.20584e-05,    2.79758e-01,    7.86006e-07,    7.06000e-02,    1.25731e-11,    1.04212e+01,    4.56164e-03,    5.28898e-02,    3.62760e-04,    2.63970e-01,    7.41647e-07,    7.24000e-02,    0.00000e+00,    9.84721e-01,    8.05415e-05,    1.45342e-04,    2.45803e-07,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -9.64694e-01,    1.17913e-02,    2.13139e-01,    2.43492e-03,    1.73913e-01,    4.88625e-07,    7.96555e-02,    1.06440e-07,              3,              2,       Disabled
  06/25/2014 08:04:53.478,    1.94504e+00,    6.34907e-04,    2.03291e+04,    6.21843e+01,    4.21582e+02,    2.13983e+00,    1.98541e+00,    5.22059e-04,    4.30331e+02,    2.21155e+00,    1.40192e+02,    2.52430e-03,    2.35710e+01,    1.41417e-03,    2.65854e+01,    9.83230e-03,    9.05460e+00,    1.42477e-03,    9.00270e+00,    2.04701e-03,    1.05950e-01,    1.29009e-04,    0.00000e+00,    0.00000e+00,   -1.61106e+00,    5.05564e-05,    0.00000e+00,    0.00000e+00,   -7.10871e+00,    1.29667e-04,    1.00629e+00,    4.47425e-05,    4.35535e-04,    1.33249e-07,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.07965e+01,    4.81214e-04,    7.82860e-02,    3.72209e-05,    2.79760e-01,    6.66668e-07,    7.06000e-02,    8.05085e-12,    1.04158e+01,    4.81214e-04,    5.33251e-02,    1.57693e-04,    2.63972e-01,    6.29044e-07,    7.24000e-02,    1.38778e-17,    9.84611e-01,    2.84920e-05,    1.45195e-04,    7.82260e-08,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -9.42252e-01,    1.41425e-02,    2.18575e-01,    1.06161e-03,    1.73915e-01,    4.14438e-07,    7.96553e-02,    5.09258e-08,              3,              2,       Disabled
  06/25/2014 08:04:55.536,    1.94517e+00,    1.16278e-03,    2.05110e+04,    1.21895e+02,    4.22799e+02,    8.66161e-01,    1.98590e+00,    1.43427e-03,    4.31652e+02,    8.30581e-01,    1.40205e+02,    5.31983e-02,    2.35751e+01,    1.31387e-03,    2.66167e+01,    1.07758e-02,    9.04982e+00,    1.47911e-03,    9.00366e+00,    4.94938e-03,    1.05732e-01,    1.77665e-05,    0.00000e+00,    0.00000e+00,   -1.61091e+00,    5.91661e-05,    0.00000e+00,    0.00000e+00,   -7.10903e+00,    1.05034e-04,    1.00616e+00,    1.30705e-04,    4.35278e-04,    3.64698e-07,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.07931e+01,    1.37763e-03,    7.82545e-02,    3.59299e-06,    2.79762e-01,    6.19378e-07,    7.06000e-02,    1.46928e-11,    1.04192e+01,    1.37763e-03,    5.37846e-02,    2.92319e-04,    2.63974e-01,    5.84423e-07,    7.24000e-02,    1.38778e-17,    9.84460e-01,    7.27577e-05,    1.45121e-04,    1.81634e-08,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -9.10465e-01,    2.03353e-03,    2.19243e-01,    4.13735e-04,    1.73916e-01,    3.85040e-07,    7.96553e-02,    3.24068e-08,              3,              2,       Disabled
  06/25/2014 08:04:57.557,    1.94636e+00,    1.29637e-04,    2.06674e+04,    7.20817e+01,    4.19043e+02,    1.80236e+00,    1.98743e+00,    1.39078e-05,    4.27886e+02,    1.80890e+00,    1.40222e+02,    1.82369e-02,    2.35789e+01,    1.37840e-03,    2.66456e+01,    1.13813e-02,    9.05444e+00,    7.32533e-04,    9.00327e+00,    1.71518e-04,    1.05873e-01,    1.89231e-05,    0.00000e+00,    0.00000e+00,   -1.61074e+00,    4.40278e-05,    0.00000e+00,    0.00000e+00,   -7.10931e+00,    8.26244e-05,    1.00626e+00,    1.18100e-04,    4.35146e-04,    1.14579e-07,   -1.59793e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -1.07945e+01,    6.68250e-03,    7.83499e-02,    2.24863e-05,    2.79764e-01,    6.49796e-07,    7.06000e-02,    1.65074e-12,    1.04178e+01,    6.68250e-03,    5.42345e-02,    1.79703e-04,    2.63975e-01,    6.13125e-07,    7.24000e-02,    1.96262e-17,    9.84370e-01,    5.40577e-05,    1.45116e-04,    8.29571e-08,    4.81977e-04,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -8.97133e-01,    1.30586e-02,    2.17307e-01,    9.69063e-04,    1.73917e-01,    4.03949e-07,    7.96554e-02,    5.11252e-08,              3,              2,       Disabled
